# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - aIA: 0.1446
#             #       - etaIA: 2.21
#             #       - betaIA: 0.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: N(0.02268,0.00038)
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: N(0.97,0.004)
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - aIA: [-1.0,5.0]
#            #       - etaIA: [-5.0,5.0]
#            #       - betaIA: 0.0
#         ##############################################################
#              Omega_m          Ombh2          h          log10As          ns          aIA          etaIA        log_w   log_l
2.857861797517659563e-01 2.308988013499546632e-02 5.926735813267662856e-01 2.206637665032405771e+00 9.669426951327902975e-01 2.607322878759187113e+00 -4.002385329437483819e+00 -1.933670792497107759e+05 -5.197883515443806536e+06
2.849014853677811487e-01 2.300527425153422664e-02 5.194581469703134502e-01 2.157508307985437579e+00 9.691552529413857142e-01 1.745487087645333446e+00 -2.117071407848425402e+00 -2.533537909431392327e+05 -5.257870227137234993e+06
2.871022189041612660e-01 2.260400987389968308e-02 6.582805837915262082e-01 1.937114436853095478e+00 9.757286458031056986e-01 3.776531674670877692e+00 -3.166143787383758124e+00 -1.727923296299520880e+05 -5.177308765824047849e+06
3.392802582359649155e-01 2.276572683631725158e-02 8.696571644209645235e-01 2.918223847728064868e+00 9.594657160279946861e-01 3.680273583962350159e+00 -4.108125791850508968e+00 -1.727181246658563614e+05 -5.177234560859952122e+06
3.456498216170389992e-01 2.299783752935713813e-02 8.218957202564018960e-01 2.844302133532565779e+00 9.692705991121927100e-01 1.372796926455155830e+00 2.709562535349085977e+00 -2.475620696630645543e+05 -5.252078505857160315e+06
3.540158611339893069e-01 2.270585890015993508e-02 8.007391118921716178e-01 3.859224519550843446e+00 9.735799483029594636e-01 3.666916969157458794e-01 -4.416469907131520323e+00 -6.392575465747192502e+05 -5.643773982768815011e+06
3.500208300527509198e-01 2.233336199219073531e-02 5.542440315371843784e-01 2.280941490863326759e+00 9.569857220257623753e-01 2.992045117553365330e+00 -1.330293302572649328e+00 -1.534208003932898864e+05 -5.157937236587385647e+06
3.515574274137725497e-01 2.267893937178535116e-02 7.564855788213967758e-01 3.531120942001058083e+00 9.698166448610631152e-01 -1.406947897611690035e-01 3.707348431608089356e+00 -3.445005085944477469e+05 -5.349016944788543507e+06
3.528865989999788177e-01 2.183996573283158993e-02 6.206979982760778558e-01 2.768800947430525738e+00 9.653376199008528724e-01 2.977461378862913399e+00 3.809074102863181821e+00 -1.264927699722982012e+06 -6.269444135917077772e+06
2.980960895311193237e-01 2.257701519298696557e-02 7.133579877514608647e-01 2.145329966913566366e+00 9.780963444816026531e-01 4.451359270258274492e+00 7.816973003614977600e-01 -1.482544181526144966e+05 -5.152770854346710257e+06
3.241709330220124974e-01 2.318153623812290245e-02 7.866364124167197769e-01 2.206586525653101205e+00 9.649949405167592698e-01 2.192271610940372373e+00 2.882381206124255080e+00 -1.413414497924800962e+05 -5.145857885986575857e+06
3.497817349188499514e-01 2.286198719997761808e-02 6.450912663383543411e-01 2.938690602224275583e+00 9.697280500904259526e-01 2.688560999816783870e+00 4.197372089762597014e+00 -2.319923693874763325e+06 -7.324440130068859085e+06
3.588949730486318268e-01 2.252547497216339858e-02 8.342441997366571993e-01 2.692558554233477786e+00 9.698328317755854355e-01 2.069423062896744270e+00 4.011456481976868105e+00 -2.575453535747544840e+06 -7.579969971941640601e+06
2.870316014045208308e-01 2.330136774084210285e-02 8.005948521527391781e-01 3.741645875125896303e+00 9.687006429425256693e-01 1.706679255328981348e+00 -3.410629631130105643e+00 -2.457876843039756641e+05 -5.250304120498071425e+06
