# 
#         ##############################################################
#         # Cosmology Pipeline Configuration
#         #------------------------------------------------------------
#         # Observable: shear-shear
#         # Sky Fraction (fsky): 0.5
#         # Redshift Binning: 5 bins (0.01 ≤ z ≤ 3.0)
#         # for n(z) LSST-like
#         # Lensing & Clustering Scales:
#         #   - l_min: 20
#         #   - l_bins: 50
#         #   - l_max (WL): 2000
#         #   - l_max (GC, XC): 900
#         #
#         # Data Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: TATT (1)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameters: 
#         
#             #       - Omega_m: 0.31
#             #       - Ombh2: 0.02268
#             #       - h: 0.68
#             #       - log10As: 3.044
#             #       - ns: 0.97
#             #       - Mnu: 0.0
#             #       - w0: -1.0
#             #       - wa: 0.0
#             #       - a1_IA: 0.1446
#             #       - eta1_IA: 2.21
#             #       - beta_IA: 0.0
#             #       - a2_IA: 1.0
#             #       - eta2_IA: 0.0
#             #       - b1_IA: 1.0
#             #       - TCMB: 2.7255
#             #       - nnu: 3.044
#             #       - Omega_b: 0.04904844290657439
#             #       - Omnuh2: 0.0
#             #       - Omega_nu: 0.0
#             #       - Omega_cb: 0.31
#             #       - Omega_c: 0.2609515570934256
#             #       - fb: 0.15822078356959482
#             #       - As: 2.0989031673191437e-09
#         #
#         # Theory Model:
#         #   - Nonlinear Power Spectrum: HMcode (0)
#         #   - Galaxy Bias Model: b1 constant within bins (0)
#         #   - Intrinsic Alignments: zNLA (0)
#         #   - Baryon Model: no baryons (0)
#         #   - Parameter priors:
#         
#            #       - Omega_m: [0.25,0.4]
#            #       - Ombh2: 0.02268
#            #       - h: [0.5,0.9]
#            #       - log10As: [1.7,4.0]
#            #       - ns: 0.97
#            #       - Mnu: 0.0
#            #       - w0: -1.0
#            #       - wa: 0.0
#            #       - a1_IA: [-5.0,5.0]
#            #       - eta1_IA: [-5.0,5.0]
#            #       - beta_IA: 0.0
#            #       - a2_IA: 1.0
#            #       - eta2_IA: 0.0
#            #       - b1_IA: 1.0
#         ##############################################################
#              Omega_m          h          log10As          a1_IA          eta1_IA        log_w   log_l
3.160842181263666673e-01 8.738995832098657157e-01 2.472313401688383205e+00 -2.742091092742156011e+00 -2.281094981074747174e+00 -1.030976319907760189e+05 -1.034550082378202642e+05
2.875351768972866928e-01 7.751257031619814830e-01 3.302950673020069061e+00 3.999658555057548526e+00 -1.805136011585017908e+00 -1.108474214571146731e+05 -1.112047977041589184e+05
3.647833194357876785e-01 8.392061465809550480e-01 2.452056067551704466e+00 -1.324753350319754830e+00 1.604010275604355940e+00 -3.336681987151855719e+05 -3.340255749622298172e+05
2.568924958434378736e-01 7.656975993589196783e-01 3.941880701976631762e+00 3.094587855759579398e+00 3.130820333610531137e+00 -1.994960358242048696e+07 -1.994996095866753161e+07
3.570828120824240948e-01 8.118393426971581839e-01 3.094172693037470889e+00 -4.703602008697405523e+00 -3.920298818453899159e+00 -1.154825900652391370e+06 -1.155183276899435790e+06
2.876369185319225807e-01 6.418523504303856875e-01 3.954864033579168492e+00 -3.096373937776739638e-01 4.394856921066716993e+00 -4.094164116222912562e+05 -4.097737878693355015e+05
3.122705052085869570e-01 8.621716849802740779e-01 2.235331730677075246e+00 -1.730694306983151520e+00 2.988773996008008638e+00 -3.132535402618615772e+05 -3.136109165089058224e+05
3.305656082672748242e-01 7.521582413329769290e-01 2.550007769297634397e+00 -4.006611164215253318e+00 2.156069525697410505e+00 -1.141939953924115514e+06 -1.142297330171159934e+06
2.671249823599667339e-01 8.289459410638497783e-01 3.998539914416047836e+00 3.894015038989490307e+00 4.396195340551532382e+00 -7.653454899417527199e+09 -7.653455256793773651e+09
3.862071526193373572e-01 6.820133265994451355e-01 2.632007011549897690e+00 3.782958860447996230e+00 7.326472016198950499e-01 -1.560801408673647384e+05 -1.564375171144089836e+05
3.363284055173103027e-01 8.474004393661500600e-01 3.841150966445010972e+00 -1.831429203232028957e+00 -4.777894522559924084e+00 -5.275906189039686695e+06 -5.276263565286730416e+06
3.830848755255144011e-01 6.431990318905901338e-01 3.324116085956394073e+00 1.527882657826753032e+00 3.450530684766413003e-01 -1.391033351583821059e+05 -1.394607114054263511e+05
3.182179776663055515e-01 6.909686815334122878e-01 3.222010807548222111e+00 1.148316442320039599e+00 3.759615619266702069e+00 -1.473795940980396466e+06 -1.474153317227440886e+06
3.525138669620659360e-01 8.830572512064291946e-01 3.515364651907767701e+00 2.758829236649189554e+00 3.019088572197340170e+00 -8.383970629168599844e+07 -8.384006366793304682e+07
3.870815749767657077e-01 6.788348868752438481e-01 3.717672205510474726e+00 3.443794077291419953e+00 3.249122188292286495e+00 -2.304119360836954117e+08 -2.304122934599424601e+08
3.276642521036783329e-01 5.110916238891405339e-01 1.790263038130195827e+00 -4.494259102108823178e+00 4.181026947275443106e+00 -1.144999639951101318e+07 -1.145035377575805783e+07
2.887175096636354077e-01 8.945609915827241743e-01 3.349880803688745967e+00 -1.329228248285023728e+00 4.586253250544631399e+00 -1.709787925765111148e+08 -1.709791499527581632e+08
3.520247048686283575e-01 8.252394989504183709e-01 2.376388174561949285e+00 -4.080371462656019688e+00 2.509151375215878055e+00 -5.427896679521598853e+06 -5.428254055768642575e+06
3.796587488363075136e-01 8.956244087888601824e-01 2.830998148529546565e+00 -4.648811807145371233e+00 3.593300641220441349e+00 -1.503476411407309771e+09 -1.503476768783556938e+09
3.436846695936905949e-01 7.937453056432843823e-01 2.084868496521262049e+00 3.888978965367162033e+00 3.856848370467726994e+00 -8.781274998706647754e+07 -8.781310736331352592e+07
2.525472215830311118e-01 5.419103205518449595e-01 1.722127181607901569e+00 6.068438440218635321e-01 1.006680679111626731e-01 -8.629920232797619246e+04 -8.665657857502043771e+04
